item_name,month,avg_price,highest_state,highest_price,lowest_state,lowest_price
Agric eggs medium size,2024-11-01,2833.97,Gombe,3600.0,Borno,2381.15
Agric hen eggs,2024-11-01,247.26,Gombe,300.0,Borno,199.73
Beans Brown,2024-11-01,2720.96,Bauchi,3675.0,Adamawa,1925.0
Beans white,2024-11-01,2546.7,Ebonyi,3157.2,Adamawa,1750.0
Beef Bone in,2024-11-01,5073.74,Niger,6244.03,Anambra,3650.97
Beef Boneless,2024-11-01,6001.32,Enugu,7020.85,Yobe,4800.0
Bread sliced 500g,2024-11-01,1588.03,Rivers,1881.67,Yobe,1120.4
Bread unsliced 500g,2024-11-01,1486.25,Delta,1805.42,Borno,1053.56
Local Rice (Broken),2024-11-01,2485.14,Osun,3400.0,Adamawa,1500.0
Catfish (obokun) fresh,2024-11-01,4259.99,Bayelsa,5885.71,Adamawa,3000.0
Catfish :dried,2024-11-01,5787.74,Imo,12181.27,Kano,3950.44
Catfish Smoked,2024-11-01,4352.77,Yobe,6255.22,Kebbi,3391.67
Chicken Feet,2024-11-01,3336.7,Niger,5713.05,Taraba,1200.0
Chicken Wings,2024-11-01,4316.41,Ondo,6100.0,Adamawa,2200.0
Dried Fish Sardine,2024-11-01,4766.56,Nasarawa,7474.67,Niger,2900.57
Evaporated tinned milk carnation 170g,2024-11-01,873.77,Gombe,1525.0,Kogi,640.53
"Evaporated tinned milk(peak), 170g",2024-11-01,991.2,Gombe,1450.0,Niger,750.0
Frozen chicken,2024-11-01,6130.51,Gombe,8900.0,Ondo,4850.0
Garri white,2024-11-01,1205.39,Gombe,1550.0,Kogi,1000.04
Garri Yellow,2024-11-01,1311.03,Gombe,1575.0,Kogi,1100.03
"Groundnut oil, 75cl",2024-11-01,3165.38,Ekiti,4100.0,Adamawa,2100.0
Iced Sardine,2024-11-01,3875.66,Gombe,5308.98,Niger,2562.63
Irish Potato,2024-11-01,1778.96,Kogi,2839.31,Bauchi,1075.42
Mackerel Frozen,2024-11-01,4203.76,Imo,5583.0,Abuja,2713.69
Maize grain white,2024-11-01,1156.91,Taraba,1600.0,Borno,830.36
Maize grain yellow sold loose,2024-11-01,1163.24,Taraba,1700.0,Jigawa,828.82
Mudfish (aro) fresh,2024-11-01,4136.48,Akwa Ibom,5696.18,Benue,2628.08
Mudfish : dried,2024-11-01,5345.99,Abia,10329.43,Plateau,3145.69
Onions fresh,2024-11-01,1878.0,Ebonyi,3025.0,Yobe,855.26
"Palm oil, 75cl",2024-11-01,2466.79,Taraba,3500.0,Abuja,1442.83
Plantain (ripe),2024-11-01,1540.05,Edo,2257.75,Borno,913.89
Plantain (unripe),2024-11-01,1566.2,Ondo,2300.0,Benue,899.47
Rice agric sold loose,2024-11-01,2042.35,Nasarawa,3121.18,Benue,1356.37
Rice local sold loose,2024-11-01,1959.98,Kogi,2758.06,Benue,1268.66
Rice Medium Grained,2024-11-01,2104.43,Kogi,2910.41,Benue,1630.42
Rice Long-Grained (Imported),2024-11-01,2489.15,Kogi,3263.85,Niger,2023.94
Sweet potatoes,2024-11-01,942.24,Cross River,1989.04,Adamawa,450.0
Tilapia fresh fish (Epiya),2024-11-01,4039.63,Ebonyi,6384.57,Taraba,2200.0
"Titus, frozen",2024-11-01,4626.82,Ebonyi,5661.92,Taraba,3250.0
"Tomatoes, fresh",2024-11-01,1472.18,Enugu,2352.28,Borno,660.84
"Vegetable Oil, 75cl",2024-11-01,3147.05,Ekiti,4000.0,Bauchi,2200.0
"Wheat Flour, Prepacked (2kg)",2024-11-01,3819.37,Niger,5462.63,Plateau,2667.9
Yam Tuber,2024-11-01,1836.01,Kwara,4041.66,Borno,885.74
Agric eggs medium size,2024-12-01,2866.92,Gombe,3600.65,Borno,2431.2
Agric hen eggs,2024-12-01,252.17,Bauchi,300.73,Taraba,212.0
Beans Brown,2024-12-01,2501.32,Bauchi,3500.32,Yobe,1755.63
Beans white,2024-12-01,2319.04,Abuja,3176.63,Yobe,1534.59
Beef Bone in,2024-12-01,5153.18,Akwa Ibom,6466.67,Abia,3792.87
Beef Boneless,2024-12-01,6150.18,Enugu,7316.2,Borno,5041.6
Bread sliced 500g,2024-12-01,1610.83,Akwa Ibom,1890.0,Benue,1299.01
Bread unsliced 500g,2024-12-01,1512.13,Delta,1823.75,Yobe,1112.87
Local Rice (Broken),2024-12-01,2512.33,Osun,3500.0,Adamawa,1600.0
Catfish (obokun) fresh,2024-12-01,4347.44,Bayelsa,5815.86,Nasarawa,3110.1
Catfish :dried,2024-12-01,6044.08,Imo,12478.59,Katsina,4100.14
Catfish Smoked,2024-12-01,4475.1,Yobe,7142.86,Kebbi,3310.57
Chicken Feet,2024-12-01,3397.83,Niger,5715.05,Taraba,1250.0
Chicken Wings,2024-12-01,4422.8,Ondo,6120.0,Adamawa,2300.0
Dried Fish Sardine,2024-12-01,4908.42,Nasarawa,7669.01,Niger,2903.57
Evaporated tinned milk carnation 170g,2024-12-01,887.45,Gombe,1575.0,Kogi,640.11
"Evaporated tinned milk(peak), 170g",2024-12-01,1014.74,Gombe,1455.0,Niger,810.0
Frozen chicken,2024-12-01,6473.81,Yobe,12000.0,Ondo,4870.0
Garri white,2024-12-01,1184.77,Gombe,1500.0,Kogi,800.1
Garri Yellow,2024-12-01,1296.93,Gombe,1720.0,Kogi,1000.03
"Groundnut oil, 75cl",2024-12-01,3328.17,Osun,4133.33,Niger,2282.59
Iced Sardine,2024-12-01,4014.23,Gombe,5850.39,Niger,2565.63
Irish Potato,2024-12-01,1818.29,Kogi,2840.23,Yobe,1038.46
Mackerel Frozen,2024-12-01,4287.65,Imo,5748.4,Abuja,2716.99
Maize grain white,2024-12-01,1151.13,Adamawa,1800.0,Borno,777.99
Maize grain yellow sold loose,2024-12-01,1160.22,Taraba,1700.0,Yobe,800.27
Mudfish (aro) fresh,2024-12-01,4166.68,Oyo,5868.57,Benue,2685.9
Mudfish : dried,2024-12-01,5632.34,Abia,11717.68,Niger,3199.89
Onions fresh,2024-12-01,2057.81,Ebonyi,3286.92,Borno,1000.0
"Palm oil, 75cl",2024-12-01,2582.35,Adamawa,3350.0,Niger,1172.81
Plantain (ripe),2024-12-01,1533.68,Akwa Ibom,2166.26,Borno,916.67
Plantain (unripe),2024-12-01,1550.15,Ondo,2310.0,Yobe,901.0
Rice agric sold loose,2024-12-01,2037.3,Nasarawa,3202.33,Benue,1386.21
Rice local sold loose,2024-12-01,1944.4,Kogi,2738.22,Benue,1296.57
Rice Medium Grained,2024-12-01,2092.39,Kogi,2900.11,Benue,1666.29
Rice Long-Grained (Imported),2024-12-01,2520.78,Kwara,3350.33,Borno,1757.13
Sweet potatoes,2024-12-01,930.79,Cross River,1969.15,Adamawa,450.0
Tilapia fresh fish (Epiya),2024-12-01,4106.72,Ebonyi,6440.75,Taraba,2300.0
"Titus, frozen",2024-12-01,4725.17,Ebonyi,5862.69,Taraba,3350.0
