old_name,new_name,canonical_name
"Beans brown,sold loose",Beans Brown,Beans Brown
Beans:white black eye. sold loose,Beans white,Beans white
"Beef,boneless",Beef Boneless,Beef Boneless
Catfish (obokun) fresh,Cat fresh fish,Catfish (obokun) fresh
Chicken Feet,Chicken feet,Chicken Feet
Frozen chicken,Chicken meat (Frozen),Frozen chicken
"Gari white,sold loose",Garri white,Garri white
"Gari yellow,sold loose",Garri Yellow,Garri Yellow
"Groundnut oil: 1 bottle, specify bottle","Groundnut oil, 75cl","Groundnut oil, 75cl"
Mackerel : frozen,"Mackerel, Frozen",Mackerel Frozen
Maize grain white sold loose,Maize (Corn) Grains (White) sold loose,Maize grain white
Onion bulb,"Onions, fresh",Onions fresh
"Palm oil: 1 bottle,specify bottle","Palm oil, 75cl","Palm oil, 75cl"
Plantain(ripe),Plantain (ripe),Plantain (ripe)
Plantain(unripe),Plantain (unripe),Plantain (unripe)
Sweet potato,Sweet potatoes,Sweet potatoes
Tilapia fish (epiya) fresh,Tilapia fresh fish (Epiya),Tilapia fresh fish (Epiya)
Titus:frozen,"Titus, frozen","Titus, frozen"
Tomato,"Tomatoes, fresh","Tomatoes, fresh"
"Vegetable oil:1 bottle,specify bottle","Vegetable Oil, 75cl","Vegetable Oil, 75cl"
Wheat flour: prepacked (golden penny 2kg),"Wheat Flour, Prepacked (2kg)","Wheat Flour, Prepacked (2kg)"
Yam tuber,Yam Tuber,Yam Tuber
